group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,Longitude,Latitude,Min_Temp,Max_Temp
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,unknown,Cook,Lake Calumet,-87.5949,41.6862,4,46
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2003,unknown,Cook,Mckinley Park Lake,-87.678409,41.824581,4,46
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,extirpated,Cook,Columbus Park Lagoon,-87.766557,41.875888,4,46
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,extirpated,Cook,Garfield Park Lagoon,-87.717612,41.88287,4,46
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2012,unknown,Cook,Garfield Park Lagoon,-87.71827,41.88322,4,46
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2008,eradicated,Cook,Lincoln Park South Lagoon,-87.63236,41.91697,4,46
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Schiller Park Pond,-87.83984,41.95746,4,46
Plants,Iris pseudacorus,Paleyellow Iris,2000,NA,DuPage,NA,-88.0789,41.8158,,
Plants,Iris pseudacorus,Paleyellow Iris,2000,NA,DuPage,NA,-88.0791,41.816,,
Plants,Iris pseudacorus,Paleyellow Iris,2008,collected,Cook,NA,-87.767817,41.837649,,
Plants,Iris pseudacorus,Paleyellow Iris,2008,collected,DuPage,NA,-88.063587,41.856029,,
Plants,Iris pseudacorus,Paleyellow Iris,2008,collected,Lake,NA,-87.983801,42.313322,,
Plants,Juncus compressus,Roundfruit Rush,2006,NA,Cook,NA,-87.96719,42.03096,,
Plants,Juncus compressus,Roundfruit Rush,2006,NA,Cook,NA,-88.10087,42.06624,,
Plants,Juncus compressus,Roundfruit Rush,2006,NA,Cook,NA,-88.15063,42.06638,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Cook,NA,-87.88744,42.12834,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,-87.9494,42.42856,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,-87.96223,42.47167,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,-87.94768,42.48452,,
Plants,Juncus compressus,Roundfruit Rush,1986,NA,Lake,Long Lake,-88.127227,42.3771278,,
Plants,Lythrum salicaria,Purple Loosestrife,2000,NA,DuPage,Crowley Pond,-88.0608,41.8144,8,18
Plants,Lythrum salicaria,Purple Loosestrife,2006,NA,DuPage,Crowley Pond,-88.0592,41.816,8,18
Plants,Lythrum salicaria,Purple Loosestrife,1926,NA,Cook,NA,-87.85,41.8333,8,18
Plants,Lythrum salicaria,Purple Loosestrife,1990,NA,Cook,NA,-87.85,41.8333,8,18
Plants,Lythrum salicaria,Purple Loosestrife,1990,NA,DuPage,NA,-88.0833,41.8333,8,18
Plants,Lythrum salicaria,Purple Loosestrife,1993,NA,DuPage,NA,-88.0833,41.8333,8,18
Plants,Lythrum salicaria,Purple Loosestrife,1998,NA,DuPage,NA,-88.0833,41.8333,8,18
Plants,Lythrum salicaria,Purple Loosestrife,2011,Collected,Cook,Chicago Sanitary and Ship Canal,-87.686435,41.836962,8,18
Plants,Lythrum salicaria,Purple Loosestrife,2008,collected,DuPage,NA,-88.063587,41.856029,8,18
Plants,Lythrum salicaria,Purple Loosestrife,1984,NA,Cook,NA,-88.2529303,42.00838617,8,18
Plants,Lythrum salicaria,Purple Loosestrife,2010,NA,Cook,NA,-88.17643,42.018183,8,18
