group_,gen_sp,common,YearEndCDa,status,Latitude,Longitude,county_ori,WaterBody,,,,,,,,,,,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2008,,37.490258,-88.912994,Johnson,,,,,,,,,,,,,
Plants,Myriophyllum aquaticum,Parrot Feather Watermilfoil,2008,,37.490258,-88.912994,Johnson,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2010,,37.49029,-88.91294,Johnson,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.51567,-88.44728333,Hardin,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.515811,-88.446373,Pope,,,,,,,,,,,,,
Plants,Typha x glauca,Hybrid Cattail,1986,,37.51926604,-88.70062553,Pope,,,,,,,,,,,,,
Plants,Nasturtium officinale,Watercress,1980,,37.54837477,-89.44422324,Union,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.5524,-88.7729,Johnson,,,,,,,,,,,,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1999,collected,37.5572,-89.0233,Johnson,Fern Clyffe Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1992,,37.561725,-89.472184,Union,Big Muddy River,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1992,,37.561963,-89.472442,Union,Big Muddy River,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1992,,37.56264,-89.51887,Union,Mississippi River,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1992,,37.575331,-89.500637,Jackson,Big Muddy River,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2010,,37.60476,-89.15766,Williamson,Little Grassy Lake,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,1984,,37.60565761,-89.10611681,Williamson,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.61472,-88.27448,Gallatin,,,,,,,,,,,,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1993,collected,37.617767,-88.27446,Gallatin,Pounds Hollow Lake,,,,,,,,,,,,
