group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,HUC,,,
Plants,Lythrum salicaria,Purple Loosestrife,2010,NA,Cook,NA,71200061205,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,2010,Collected,Lake,Fox River,71200061105,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,1977,NA,Lake,NA,71200030101,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,1977,NA,Lake,NA,71200030101,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,2010,Collected,Lake,Bangs Lake,71200061103,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,1981,NA,Lake,NA,71200030102,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,2008,collected,Lake,NA,71200040302,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,2010,Collected,Lake,Long Lake,71200061008,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,1977,NA,Lake,Mud Lake,71200061009,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,1978,NA,Lake,Mud Lake,71200061009,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,2009,NA,Lake,NA,71200061006,8,18,
Plants,Lythrum salicaria,Purple Loosestrife,1975,NA,Lake,NA,71200061009,8,18,
Fishes,Osmerus mordax,Rainbow Smelt,1982,NA,Cook,Lake Calumet,40400010603,0.15,15.6,http://eol.org/pages/357054/details
Fishes,Osmerus mordax,Rainbow Smelt,1987,NA,Cook,Chicago River,71200030107,0.15,15.6,
Fishes,Osmerus mordax,Rainbow Smelt,1987,NA,Cook,Chicago River,40400020502,0.15,15.6,
Fishes,Oncorhynchus mykiss,Rainbow Trout,1997,NA,Cook,Calumet River,40400010603,10,24,http://fishbase.org/Summary/SpeciesSummary.php?ID=239&AT=rainbow+trout
Fishes,Oncorhynchus mykiss,Rainbow Trout,1995,NA,Cook,North Shore Channel,71200030104,10,24,
Fishes,Oncorhynchus mykiss,Rainbow Trout,1979,NA,Cook,North Shore Channel,71200030104,10,24,
Fishes,Oncorhynchus mykiss,Rainbow Trout,1995,NA,Cook,North Shore Channel,71200030104,10,24,
Fishes,Oncorhynchus mykiss,Rainbow Trout,2000,NA,Lake,Waukegan River,40400020501,10,24,
Fishes,Oncorhynchus mykiss,Rainbow Trout,1998,NA,Lake,Waukegan River,40400020501,10,24,
Fishes,Oncorhynchus mykiss,Rainbow Trout,1998,NA,Lake,Waukegan River,40400020501,10,24,
Fishes,Oncorhynchus mykiss,Rainbow Trout,2003,NA,Lake,Waukegan River,40400020501,10,24,
Crustaceans,Procambarus clarkii,Red Swamp Crayfish,2010,collected,DuPage,Pond in Prospect Park,71200040404,,,
Plants,Phalaris arundinacea,Reed Canarygrass,2007,NA,DuPage,NA,71200040803,,,
Plants,Phalaris arundinacea,Reed Canarygrass,2000,NA,DuPage,NA,71200040803,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1978,NA,Cook,NA,71200061205,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1982,NA,Cook,NA,71200040505,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1982,NA,Cook,NA,71200040505,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1982,NA,Cook,NA,71200040505,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1982,NA,Cook,NA,71200040505,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1980,NA,Cook,NA,71200040503,,,
Plants,Phalaris arundinacea,Reed Canarygrass,1977,NA,Lake,NA,71200030101,,,
Plants,Glyceria maxima,Reed Mannagrass,2006,unknown,Lake,NA,40400020501,,,
Plants,Juncus compressus,Roundfruit Rush,2006,NA,Cook,NA,71200040504,,,
Plants,Juncus compressus,Roundfruit Rush,2006,NA,Cook,NA,71200040401,,,
Plants,Juncus compressus,Roundfruit Rush,2006,NA,Cook,NA,71200061205,,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Cook,NA,71200040503,,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,71200040202,,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,71200040301,,,
Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,71200040301,,,
Plants,Juncus compressus,Roundfruit Rush,1986,NA,Lake,Long Lake,71200061008,,,
Fishes,Scardinius erythrophthalmus,Rudd,1990,collected,Cook,Coon Creek,71200040705,2,22,http://www.fishbase.org/summary/Scardinius-erythrophthalmus.html
Fishes,Scardinius erythrophthalmus,Rudd,1988,NA,Lake,Fox River,71200061105,2,22,
Fishes,Scardinius erythrophthalmus,Rudd,1988,collected,Lake,NA,71200061008,2,22,
Fishes,Scardinius erythrophthalmus,Rudd,1988,NA,Lake,NA,71200040202,2,22,
Fishes,Scardinius erythrophthalmus,Rudd,1988,NA,Lake,Avon-fremont Ditch,71200040202,2,22,
Fishes,Poecilia latipinna,Sailfin Molly,1998,NA,Lake,Waukegan River,40400020501,,,
Fishes,Poecilia latipinna,Sailfin Molly,1998,NA,Lake,Waukegan River,40400020501,,,
Fishes,Petromyzon marinus,Sea Lamprey,1957,NA,DuPage,DuPage River,71200040803,,,
Fishes,Tinca tinca,Tench,1891,failed,Cook,Des Plaines River,71200040505,,,
Fishes,Gasterosteus aculeatus,Threespine Stickleback,1999,NA,Cook,Calumet River,71200030407,4,24,http://www.fishbase.org/summary/Tinca-tinca.html
