number,HUC12_1,group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,Longitude,Latitude
6.7,71200040302,Plants,Nasturtium officinale,Watercress,2008,collected,Lake,NA,-87.983801,42.313322
6.8,71200040302,Plants,Puccinellia distans,Weeping Alkaligrass,2008,collected,Lake,NA,-87.983801,42.313322
8,71200061008,Fishes,Scardinius erythrophthalmus,Rudd,1988,collected,Lake,NA,-88.132324,42.322001
9,71200040202,Plants,Polygonum hydropiper,Marshpepper Knotweed,1989,NA,Lake,NA,-88.03382279,42.33494534
1.2,40400020501,Fishes,Oncorhynchus kisutch,Coho Salmon,2002,NA,Lake,S. Br. Waukegan River,-87.84,42.34
9.1,71200040202,Fishes,Scardinius erythrophthalmus,Rudd,1988,NA,Lake,NA,-88.034005,42.343542
9.2,71200040202,Fishes,Scardinius erythrophthalmus,Rudd,1988,NA,Lake,Avon-fremont Ditch,-88.03336261,42.34427597
9.3,71200040202,Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Gages Lake,-87.991008,42.346017
9.4,71200040202,Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Gages Lake,-88.000843,42.354941
1.3,40400020501,Fishes,Oncorhynchus tshawytscha,Chinook Salmon,2000,NA,Lake,Waukegan River,-87.83567,42.35763
1.4,40400020501,Fishes,Oncorhynchus kisutch,Coho Salmon,2000,NA,Lake,Waukegan River,-87.83567,42.35763
1.5,40400020501,Fishes,Oncorhynchus mykiss,Rainbow Trout,2000,NA,Lake,Waukegan River,-87.83567,42.35763
1.6,40400020501,Fishes,Salmo trutta,Brown Trout,1997,NA,Lake,Waukegan River,-87.83732,42.35956
1.7,40400020501,Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1997,NA,Lake,Waukegan River,-87.83732,42.35956
1.8,40400020501,Fishes,Oncorhynchus kisutch,Coho Salmon,1997,NA,Lake,Waukegan River,-87.83732,42.35956
1.9,40400020501,Fishes,Oncorhynchus kisutch,Coho Salmon,1997,NA,Lake,Waukegan River,-87.83732,42.35956
1.1,40400020501,Fishes,Oncorhynchus mykiss,Rainbow Trout,1998,NA,Lake,Waukegan River,-87.83732,42.35956
1.11,40400020501,Fishes,Oncorhynchus mykiss,Rainbow Trout,1998,NA,Lake,Waukegan River,-87.83732,42.35956
1.12,40400020501,Fishes,Oncorhynchus mykiss,Rainbow Trout,2003,NA,Lake,Waukegan River,-87.83732,42.35956
1.13,40400020501,Fishes,Poecilia latipinna,Sailfin Molly,1998,NA,Lake,Waukegan River,-87.83732,42.35956
1.14,40400020501,Fishes,Poecilia latipinna,Sailfin Molly,1998,NA,Lake,Waukegan River,-87.83732,42.35956
1.15,40400020501,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,-87.83732,42.35956
1.16,40400020501,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,-87.83732,42.35956
1.17,40400020501,Fishes,Gasterosteus aculeatus,Threespine Stickleback,1997,NA,Lake,Waukegan River,-87.83732,42.35956
8.1,71200061008,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2001,NA,Lake,Squaw Creek,-88.12657,42.36722
8.2,71200061008,Plants,Najas minor,Brittle Waternymph,2010,Collected,Lake,Round Lake,-88.08331,42.368822
8.3,71200061008,Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Round Lake,-88.08331,42.368822
9.5,71200040202,Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Third Lake,-88.014173,42.374573
8.4,71200061008,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2001,collected,Lake,Squaw Creek,-88.137305,42.375021
8.5,71200061008,Plants,Lythrum salicaria,Purple Loosestrife,2010,Collected,Lake,Long Lake,-88.1256,42.381265
9.6,71200040202,Plants,Eichhornia crassipes,Common Water Hyacinth,2000,failed,Lake,Grandwood Park Lake,-87.9916,42.39072
1.18,40400020501,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1992,NA,Lake,Dead River,-87.80696,42.40972
9.7,71200040202,Plants,Polygonum hydropiper,Marshpepper Knotweed,2005,NA,Lake,Old Mill Creek,-87.94706,42.41782
2,71200061004,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2005,NA,Lake,Cedar Lake,-88.0813,42.4196
2.1,71200061004,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Cedar Lake,-88.08304,42.42468
1.19,40400020501,Plants,Glyceria maxima,Reed Mannagrass,2006,unknown,Lake,NA,-87.8136,42.4285
9.8,71200040202,Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,-87.9494,42.42856
10,71200061009,Plants,Lythrum salicaria,Purple Loosestrife,1977,NA,Lake,Mud Lake,-88.18886329,42.43737898
10.1,71200061009,Plants,Lythrum salicaria,Purple Loosestrife,1978,NA,Lake,Mud Lake,-88.18886329,42.43737898
12,71200061006,Plants,Lythrum salicaria,Purple Loosestrife,2009,NA,Lake,NA,-88.19199,42.4441
10.2,71200061009,Plants,Eichhornia crassipes,Common Water Hyacinth,2012,NA,Lake,Spring Lake,-88.12405,42.44752
12.1,71200061006,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Turner Lake,-88.18864,42.44814
10.3,71200061009,Plants,Lythrum salicaria,Purple Loosestrife,1975,NA,Lake,NA,-88.14958798,42.45182857
12.2,71200061006,Plants,Typha angustifolia,Narrowleaf Cattail,1978,NA,Lake,Turner Lake,-88.18888522,42.4519736
2.2,71200061004,Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2005,failed,Lake,East Loon Lake,-88.07320193,42.45349655
7,71200040301,Plants,Puccinellia distans,Weeping Alkaligrass,2005,NA,Lake,NA,-87.96292,42.4614
12.3,71200061006,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1988,NA,Lake,Fox River,-88.17794,42.47112
7.1,71200040301,Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,-87.96223,42.47167
12.4,71200061006,Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Fox River,-88.17865,42.4789
7.2,71200040301,Plants,Najas minor,Brittle Waternymph,2011,Collected,Lake,Sterling Lake,-87.945099,42.482977
7.3,71200040301,Plants,Juncus compressus,Roundfruit Rush,2005,NA,Lake,NA,-87.94768,42.48452
48.1,71200040802,Plants,Najas minor,Brittle Waternymph,1998,NA,DuPage,Mallard Lake,-88.12976,41.91537
33.15,40400010603,Plants,Najas minor,Brittle Waternymph,2001,NA,Cook,Powderhorn Lake,-87.53044,41.6419
41.2,71200040805,Plants,Mentha x gracilis,Gingermint,1993,NA,DuPage,Herrick Lake,-88.1433083,41.8283083
35.1,71200061205,Plants,Mentha x gracilis,Gingermint,2002,NA,Cook,Crabtree Lake,-88.1665583,42.1131889
33.16,40400010603,Fishes,Ctenopharyngodon idella,Grass Carp,2011,NA,Cook,Lake Calumet,-87.5914972,41.6778361
33.17,40400010603,Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,-87.5914972,41.6778361
10.4,71200061009,Plants,Typha angustifolia,Narrowleaf Cattail,1932,NA,Lake,Lake Marie,-88.1364777,42.465375
9.9,71200040202,Plants,Typha angustifolia,Narrowleaf Cattail,1938,NA,Lake,Fourth Lake,-88.033177,42.3914833
46.24,71200040803,Plants,Typha angustifolia,Narrowleaf Cattail,1971,NA,DuPage,Meadow Lake,-88.0523305,41.8284056
9.1,71200040202,Plants,Typha angustifolia,Narrowleaf Cattail,NA,NA,Lake,Fourth Lake,-88.033177,42.3914833
8.6,71200061008,Plants,Juncus compressus,Roundfruit Rush,1986,NA,Lake,Long Lake,-88.127227,42.3771278
